Correct as at: 27.03.23,,,,
,Precise,,,
Commerical property,"We are unable to consider any property where commercial usage exceeds 20%. The commercial element should not extend to light engineering, manufacturing, livestock, rearing or caring for domestic animals. “Home” office usage is acceptable however; such use should not include circumstances where clients are seen on the premises on a regular basis (e.g. dental surgery would not be acceptable).

Flats above or adjacent to commercial premises may be considered on an individual basis subject to valuers comments.

Home office usage is acceptable providing that this does not involve clients being seen on the premises on a regular basis.

For any other form of commercial usage, please contact us for further information. ",,,
construction,,,,
Consumer But to let (CBTL),,,,
Contractors,,,,
Converyancer/solicitor,,,,
Cross collateral charges,,,,
Criminal convictions,A mortgage application cannot be considered before a criminal conviction is spent. Please contact us directly to discuss the time limits of spent convictions.,,,
Debt consolidation,"We will accept applications where there is an element of capital raising for debt consolidation. We will require a fully completed debt consolidation form and where affordability is dependant on these debts being repaid, there will be a condition added to the offer.",,,
Deposit,"Acceptable deposit sources

The deposit should come from the applicant’s own resources and have originated within the EEA without recourse to additional borrowing. We will also accept the following sources of deposit:

Forces Help to Buy
Family gifts
Remortgage or secured loan on an existing property owned by the applicant
Builder’s Deposit (New Build only)
Builder’s Second Charge
Unacceptable deposit sources

The following forms of deposit/incentive are not acceptable:

Purchase from a company in which the applicant has an interest.
Ministry of Defence Loan – this differs from Forces Help to Buy.
Cryptocurrencies – any deposit sourced via cryptocurrencies e.g. bitcoins, is not accepted.
Please see Vendor’s deposit, family purchase and family gifted deposit for further information on these scenarios.",,,
Diplomatic immunity,Applicants with diplomatic immunity from UK law will not be accepted.,,,
Early Repayment Charges (ERC) ,"Early Repayment Charges may apply to your customer if they decide to repay all or part of their mortgage early. Details of the charges can be found in Section 8 of their Mortgage Offer.

For more details, see our Customer Information Booklet.

Click here for our existing customer website.",,,
Employed by family ,"Where an applicant is employed by a family member we will require a letter from the company's accountant addressed to Precise detailing the applicant's job title, role, salary, and length of time with the company. This is in addition to our standard and income verification requirements.",,,
Employment ,"Employed
Applicants must be in permanent employment that is not subject to a current probationary period. Applicants must have been in their current job for a minimum of 3 months with 12 months continuous employment.

Applicants on a fixed term contract basis are acceptable but if there is less than 6 months remaining on the contract confirmation of renewal may be required.

Agency workers are not acceptable.

Where an applicant has a shareholding of 25% or over, or is responsible for overall payment of their tax and National Insurance, they will be classed as self-employed.

For applicants on a zero hours contract click here for more information.

Self-employed
Applicants will need to have been trading for a minimum of 12 months and we will require income verification for the number of years’ income keyed onto our online application.

The following income will be accepted:

For sole traders – net profit.
For partnerships – the relevant share of the net profit.
For limited company directors – remuneration plus dividends.
Income verification will be required in all instances.",,,
EU and Irish Citizens ,"EU citizens are acceptable providing they have a 3 year UK residential history and must provide valid evidence that settled or pre-settled status has been granted under the EU Settlement Scheme. The evidence can be in the form of a Residence Card, or via the ‘View & Prove Your Immigration Status Online Checking Service’ provided by the UK Home Office. To use the UK Home Office checking service, the applicant is required to obtain and provide a ‘Share Code’ that will allow Precise Mortgages to check the applicant’s settlement status.

A letter from the UK Government Home Office confirming settlement status cannot be used as evidence.

Settled status is awarded to EU citizens that can evidence a minimum 5 years’ of continuous residence in the UK, whereas pre-settled status applies to those who have not resided in the UK for 5 years. Those awarded a pre-settled status can apply for status once the 5 year residence requirement can be met.

Irish citizens are exempt from the EU Settlement Scheme, and so instead will need to provide documentation evidencing proof of Irish Nationality such as a Passport.",,,
Ex-local Authority Flats ,Ex-local authority flats or maisonettes may be considered. The block should be predominantly privately owned and will be subject to an individual underwriter review.,,,
Exit strategy/exit route,,,,
Family Gifted Deposit ,"A gifted deposit from an immediate family member* is an acceptable source of deposit unless the property is being purchased from the family member who is providing the gift.

Where the property is being purchased from a family member at a discounted price, this is acceptable providing the family member will not continue to reside. Our lending and assessment of the maximum LTV will be based on the reduced price and the vendor relinquishing all rights to the property. The applicant must commit their own funds to the transaction.

For all mortgage applications a gifted deposit will be accepted from an immediate family member* that will reside in but not have an interest in the property (the giftor does not need to be a mortgage applicant).

We will require a fully completed Gifted declaration form, click here to download a copy.

*Please refer to page 2 of Gifted Declaration form",,,
Family lets,,,,
Family Purchase ,"Where a property is being purchased from a family member at a discounted price, this is acceptable providing the family member will not continue to reside. Our lending and assessment of the maximum LTV will be based on the reduced price and the vendor relinquishing all rights to the property. The applicant must commit their own funds to the transaction.",,,
Fees ,"There are a number of additional fees involved in a mortgage application. Please refer to the ‘Tariff of mortgage charges’ document for full details.

The product and telegraphic transfer fees can be added to the loan amount. Any fees added will not be incorporated into the LTV calculation but will be included in our affordability assessment.

Other fees include Product Switching Fee, Property Re-inspection Fee, Telegraphic Transfer Fee (£25) and Redemption Administration Fee (£40).

All fees include VAT (where applicable).

Click here for information on Residential Mortgage valuation fees.",,,
First Time Buyers (FTB) ,A first time buyer is an applicant who has not owned a property within the last 18 months.,,,
Flats/Maisonettes/Apartments ,"Must be self-contained with private facilities.
Must have direct access to the highway via covered common parts.
Up to a maximum of 20 storeys.
Minimum floor area 30m2
Flats above or adjacent to commercial premises may be considered on an individual basis.

Click here for details of ex-local authority flats.

Studio flats are acceptable, click here for further details.",,,
Flying Freehold ,A property with an element of Flying Freehold can be considered providing it does not exceed 10% of the total area.,,,
Forces Help to Buy (FHTB) ,We accept deposits from Forces Help to Buy scheme. The monthly repayments for this will be included in our affordability assessment as a commitment.,,,
Foreign Nationals ,Where an applicant is from outside the EEA they must have been resident in the UK for the last 3 years and have permanent rights to reside in the UK. Proof of visa will be required.,,,
Foster carers ,We can consider lending to foster carers on a case by case basis. Proof of income will be required in all instances in line with our self-employed income verification requirements.,,,
Freehold,Acceptable for houses only. Freehold flats/maisonettes are not acceptable.,,,
General Data Protection Regulation (GDPR) ,"As part of GDPR it is important that all customers and intermediaries are aware of how we use personal data, please select the relevant Privacy Notice below for further details:

Customer Privacy Notice
Customer Summary Privacy Notice
Intermediary Privacy Notice",,,
Guarantors ,We are unable to consider guarantors on our Residential Mortgages.,,,
Holiday lets,,,,
Houses in multiple occupation (HMO),,,,
Help to Buy – Forces Help to Buy (FHTB) ,We accept deposits from Forces Help to Buy scheme. The monthly repayments for this will be included in our affordability assessment as a commitment.,,,
Help to Buy Remortgage – no capital raising ,"The following applies to Help to Buy schemes in England and Wales only. For Scotland click here.

We are able to consider a remortgage transaction where the property was originally purchased on any shared equity Help to Buy Scheme where the loan amount will be limited to the repayment of the existing mortgage secured on the property.

The Help to Buy Equity Loan: Monthly interest fee payments are payable on the Help to Buy Equity Loan after five years, which are in addition to the monthly repayments for the mortgage the customer takes with Precise Mortgages. As part of the Help to Buy Equity Loan scheme the monthly interest fee payments will initially be charged at a rate of 1.75% per annum and will increase by RPI +1% every year until fully repaid. To account for the annual rise in the payments on the Help to Buy Equity Loan, Precise Mortgages stresses this commitment by multiplying it by 125%. The Residential Calculator will do this automatically.

The Help to Buy Equity Loan should be added to the DIP in the ‘Applicant Commitments’ section as a loan. We require both the Help to Buy Equity Loan balance and the monthly interest fee payment amount to be entered.

The monthly interest fee payment on the Help to Buy Equity Loan must be calculated using Precise Mortgages’ Residential Calculator. To complete this information either the Help to Buy Equity Loan amount or the current Help to Buy Equity Loan monthly commitment is required, if this is already being paid.

As the Help to Buy agent needs to provide their approval of the remortgage, we need to be sure that this has been obtained before we proceed. We will not instruct our valuation until you have confirmed that the customer is happy to go ahead following our initial assessment. You should contact our processing team to confirm this by either calling 0330 1596001 or email new.build@precisemortgages.co.uk.

When submitting applications for Help to Buy remortgages it is the responsibility of the Intermediary to ensure that the application is eligible and compliant with the rules of the appropriate Help to Buy scheme before the submission is made.

View our Help to Buy Remortgage guide here.

For more information your customer should visit:

For England – www.myfirsthome.org.uk
For Wales – www.gov.wales/help-buy-wales/repaying-shared-equity-loan",,,
Help to Buy Remortgage – with capital raising ,"The following applies to Help to Buy schemes in England and Wales only. For Scotland click here.

We are able to consider a remortgage transaction where the property was originally purchased on any shared equity Help to Buy Scheme and the customer wishes to borrow additional funds to partially repay the equity loan, this is known as staircasing.

The new loan amount will be limited to the amount required to repay the existing mortgage on the property plus the amount required to partially repay the Help to Buy Equity Loan. Any form of debt consolidation is not acceptable. If the Help to Buy Equity Loan is being repaid in full our standard residential criteria will apply and the application should be submitted on one of our core residential products and not as a Help to Buy application.

The Help to Buy Equity Loan: Monthly interest fee payments are payable on the Help to Buy Equity Loan after five years, which are in addition to the monthly repayments for the mortgage the customer takes with Precise Mortgages. As part of the Help to Buy Equity Loan scheme the monthly interest fee payments will initially be charged at a rate of 1.75% per annum and will increase by RPI +1% every year until fully repaid. To account for the annual rise in the payments on the Help to Buy Equity Loan, Precise Mortgages stresses this commitment by multiplying it by 125%. The Residential Calculator will do this automatically.

The Help to Buy Equity Loan should be added to the DIP in the ‘Applicant Commitments’ section as a loan. We require both the equity loan balance and the monthly interest fee payment amount to be entered.

The monthly interest fee payment on the Help to Buy Equity Loan must be calculated using Precise Mortgages’ Residential Calculator. To complete this information either the Help to Buy Equity Loan amount or the current Help to Buy Equity Loan monthly commitment is required, if this is already being paid.

As the Help to Buy agent needs to provide their approval of the remortgage, we need to be sure that this has been obtained before we proceed. We will not instruct our valuation until you have confirmed that the customer is happy to go ahead following our initial assessment. You should contact our processing team to confirm this by either calling 0330 1596001 or email new.build@precisemortgages.co.uk.

When submitting applications for Help to Buy remortgages it is the responsibility of the Intermediary to ensure that the application is eligible and compliant with the rules of the appropriate Help to Buy scheme before the submission is made.

View our Help to Buy Remortgage guide here.

For more information your customer should visit:

For England – www.myfirsthome.org.uk
For Wales – www.gov.wales/help-buy-wales/repaying-shared-equity-loan",,,
Help to Buy (HTB) Scotland – remortgage ,"We are able to consider a remortgage transaction where the property was originally purchased on the Scottish Shared Equity Help to Buy Scheme.

A Help to Buy remortgage is available where the loan amount is limited to the repayment of the existing mortgage secured on the property.

We are also able to consider a remortgage transaction where the property was originally purchased on the shared equity Help to Buy Scheme and the customer wishes to borrow additional funds to partially repay the equity loan, known as staircasing or tranching up. In Scotland, staircasing must be in tranches of 5% of the Help to Buy Equity Loan. Any form of debt consolidation is not acceptable.

Equity Loan: the Help to Buy Equity Loan does not have an associated fee payment in Scotland and therefore an amount does not need to be included as a commitment in the affordability assessment.

When submitting applications for Help to Buy remortgages it is the responsibility of the Intermediary to ensure that the application is eligible and compliant with the rules of the appropriate Help to Buy scheme before the submission is made.",,,
Housing Benefit,We are unable to accept applications where the applicant has been in receipt of Housing Benefit in the last 12 months.,,,
Identification (ID) ,In all cases we will try to electronically verify the identity of the applicant. On occasion this is not possible and we will require certified documentary evidence to satisfy our requirements. The documentation you need to provide to us is detailed in our Anti-money laundering guidelines.,,,
Income Sources ,"The following are acceptable sources of income:
Employed
Income type Proportion allowable in calculation
Basic salary 100%
Shift allowance 100%
Large town allowance 100%
Childcare payments 100%
Mortgage subsidy 100%
Car allowance 100%
Overtime/bonus/commission 50%* (if regular/""guaranteed"")
*Full amount should be keyed into the application.

Self-employed
For sole traders - net profit.
For partnerships - their share of the net profit.
For limited company directors - remunerations plus dividends.
The following can be included as income where evidence is available:

Sole traders/partnerships:
Private pension payments where declared on the tax calculations.
Directors (owns 25% or more shares)
Director's car allowance.
Director's pension payment.
Additional income
Source Amount eligible Criteria
Tax credits 100% 
Current Inland Revenue documentation
Child element only
",,,
,"Must have a minimum of 3 years left to run (based on ages of children)
Maintenance 50%* 
Must be via a court order
Must have a minimum of 3 years left to run
Permanent second job Maximum 50%* 
Position held for more than 12 months
Should be a permanent position
Confirmation that the hours worked are sustainable
Pension income 100% 
Confirmed personal or occupational pension can be included
*Full amount should be keyed into the online application.

Unacceptable income
We do not accept TRONC income as an acceptable source of income for affordability purposes. A TRONC is a separate organised pay arrangement sometimes used to distribute tips, gratuities and service charges.
We do not accept Adoption Allowance as an acceptable source of income for affordability purposes.",,,
Income Verification ,"Residential Mortgages
Employed
One month from the latest two months’ payslips.

Self-employed
1 year's tax calculations and HMRC Tax Year Overviews or accounts (we only accept accounts prepared by accountants with the following qualifications:

Institute of Chartered Accountants in England and Wales (ICAEW): ACA qualified;
Association of Chartered Certified Accountants (ACCA): ACCA/FCCA qualified;
Chartered Institute of Management Accountants (CIMA): ACMA/FCMA qualified;
Association of Authorised Public Accountants (AAPA): AAPA qualified;
Chartered Institute of Taxation (CIOT): CTA qualified;
Institute of Certified Public Accountants (Ireland) CPA Ireland: CPA/FCPA qualified;
Association of International Accountants (AIA): AIA/FAIA qualified;
Institute of Financial Accountants (IFA): FFA/AFA qualified;
Chartered Accountant (CA): CA qualified.
In some cases 2 years' income verification is required (SA302s will be accepted as verification for previous years). Please see our Residential Criteria Guide for more details).",,,
Inherited Property ,"Where a property has been inherited, probate must have been granted prior to a mortgage application being made. Evidence of the Grant of Probate should be provided ahead of a Mortgage Offer being issued. Where the beneficiary is looking to capital raise on the property, the application should be submitted to us as a remortgage and no minimum period of ownership will apply in these cases.

If the applicant is purchasing the property having being granted part of this in probate, we have no minimum period of ownership for the vendor.",,,
Interest coverage ratio (ICR),,,,
Intercompany loan,,,,
Interest Only,"Maximum LTV 65%.
Affordability will be calculated according to the repayment method selected.
Not available on Help to Buy products.
The value of the repayment vehicle, at the time of application will need to cover the interest only loan amount (inclusive of any fees). Please refer to repayment vehicles for further details",,,
Joint legal representation,,,,
Legal fees,,,,
Leasehold ,The minimum remaining lease term must be 70 years at the time of application.,,,
Let to Buy (LTB) ,"Any application that involves the applicant retaining their existing residential home on a buy to let basis will be classed as a Let to Buy. We are able to consider lending on the existing property and/or the onward purchase.

We will require a consent to let from the existing lender or evidence of refinancing on a buy to let basis.

The remortgage and purchase must complete simultaneously.",,,
Limited Company ,,,,
Limited Company Direct Debit Account ,,,,
Limited Company Legal Advice,,,,
Loan purpose,,,,
Loan security,,,,
Loan term,,,,
Loan Amount ,"Residential Mortgages
Minimum loan £25,001
Maximum loan £1,000,000
Individual products may have further loan restrictions, please see the relevant product guide for further details.
",,,
LTV limits ,"Residential Mortgages
Precise Mortgages offers the following maximum LTV limits:

85% LTV up to £500,000
80% LTV up to £750,000
70% LTV up to £1,000,000
Interest Only up to 65% LTV

Part and Part up to 75% LTV (Interest Only element must not exceed 50% LTV)

Studio flats up to 70% LTV

",,,
Location ,"Residential Mortgages
Properties located in mainland England, Wales and selected postcodes in Scotland are acceptable. The list below shows the Scottish postcodes we accept:

Tayside DD – All
Lothian EH – All
Stirlingshire FK – All
Glasgow G – All
Ayrshire KA – All mainland
Fife KY – All
Lanarkshire ML – All
Renfrewshire & Argyll PA – PA1 to PA19
",,,
Marital Status ,"Applications from those who are married, in civil partnerships or are co-habiting should be in joint names.

Where the original mortgage is in a sole name, we may consider a remortgage in a sole name, subject to underwriter discretion.",,,
Maternity Leave ,"
Applicants on maternity leave are acceptable. Where terms of employment are changing, e.g. reduction in hours, a letter from the employer addressed to the Group is required to evidence income confirming the following:
- Salary and working hours before commencing maternity leave;
- Return to work date;
- Salary and working hours after returning to work;
- Any changes to the applicant’s contract of employment.
Where the applicant is returning on the same terms, income will be assessed on pre-maternity salary evidenced by one of the latest two months payslips prior to commencing maternity leave.",,,
Minimum Ownership ,"Residential Mortgages
Where a customer is looking to place a remortgage application, they must have owned the property for 12 months.
",,,
Minimum Income ,"£15,000 for the main applicant from primary employment. We will use the total eligible income per annum which can include regular, guaranteed additional income such as shift allowance or overtime, i.e. £14,000 basic pay + £2,000 shift allowance, subject to underwriter review. See income sources for more details.",,,
Minimum Property Value/Purchase Price ,"Residential Mortgages
The minimum value or purchase price is £50,000, or £150,000 in London postcode districts.
",,,
Modern Methods of Construction (MMC),"Properties that have any MMC components can be considered providing the property was constructed by one of the following companies:

Barratt Developments
Bellway
Berkeley
Bloor Homes
Bovis Homes
CALA Homes
Crest Nicholson
Galliford Try
Persimmon
Redrow
Taylor Wimpey",,,
Multi-unit (MUBs),,,,
Nationality ,"UK nationals are acceptable providing they have a 3 year UK residential history. EU citizens and foreign nationals from outside of the EEA must have been resident in the UK for the last 3 years and have permanent rights to reside in the UK.

For further details select the relevant section:

EU and Irish Citizens
Foreign nationals",,,
Non-regulatred bridging finance,,,,
Number of applicants,,,,
New Build ,"Precise Mortgages define ‘New Build’ as a property that has never been occupied.

The maximum LTV is 85%, plus 5% builder incentive. There should be a minimum customer contribution of 10% for both houses and flats. applications where there must be a minimum customer contribution of 5%.

A maximum of 5% builder cash based incentive is acceptable. Example incentives include discounted purchase price, stamp duty paid, legal fees paid, cash back after completion and *mortgage payments paid (*must be paid as one lump sum on completion).

Some Section 106 planning obligations are acceptable.
No reassignment of contracts.",,,
New Build Offer Validity ,"New Build offers will be valid for 6 months from the valuation date. An offer extension for a further 3 months can be considered subject to:

Confirmation of any changes of circumstance are received in month 5 of the mortgage offer, before the expiry of the initial 6 month offer period.
A new credit search and affordability assessment.
Latest month's payslip (employed) OR latest month's bank statement (self-employed) for each applicant.
The case will be re-underwritten and must still be acceptable to us in line with our then prevailing mortgage lending policy and products.
A re-inspection of the property by the valuer (subject to a £80 fee).
All offer extensions must be requested by the acting solicitor or broker.",,,
NHS Bank Nursing,"We may be able to consider applicant who are employed on an NHS Bank Nursing basis. Income from bank nursing will be treated as zero hours contract income.Where an applicant is a permanent employee of the NHS but earns additional pay from NHS Bank Nursing, we will only include the primary earnings in our affordability assessment.",,,
Offer Validity ,Offers will be valid for 3 months from the valuation date. An offer extension may be considered (up to a maximum of 7 months from original valuation) on request from either a broker or a solicitor. For New Build offers click here.,,,
Other occupants ,"Any person over the age of 17 that will reside in the property after completion but will not be party to the mortgage, will need to be entered on the application in the 'other occupants' section. They will be required to complete a Deed of Consent to surrender interest in the property.",,,
Overpayments,"Customers are able to make overpayments on their mortgage, should they wish to do so.

Customers should read our Customer Information Booklet and their Mortgage Offer for full details and whether early repayment charges would apply to the overpayments.

Click here for our existing customer website.",,,
Part and Part ,"Maximum LTV 75%, the interest only element must not exceed 50% LTV.
Minimum capital and interest element £5,000.
Each part of the loan (interest only and capital and interest) must be a minimum of £5,000.
Fees added to the loan will be added to the capital and interest element of the loan.
Affordability will be calculated according to the repayment method selected.
The value of the repayment vehicle, at the time of application will need to cover the interest only loan amount (inclusive of any fees). Please refer to repayment vehicles for further details",,,
Payday Loans ,"We can consider lending to applicants who have made use of payday loans, this will be assessed on a case by case basis.",,,
Pension Income ,"Residential Mortgages
Please see Income Sources for further details.
",,,
Portfolio lending limits,,,,
Portfolio landlord,,,,
Porting ,All our products are not portable.,,,
Pre-emption ,Precise Mortgages cannot consider remortgaging a property purchased under any scheme where a current pre-emption clause is in place or where the original vendor retains any interest in the property. Any pre-emption clause will need to have expired before an application is made.,,,
Probate ,"Where a property has been inherited, probate must have been granted prior to a mortgage application being made. Evidence of the Grant of Probate should be provided ahead of a Mortgage Offer being issued. Where the beneficiary is looking to capital raise on the property, the application should be submitted to us a remortgage and no minimum period of ownership will apply in these cases.

If the applicant is purchasing the property having being granted part of this in probate, we have no minimum period of ownership for the vendor.",,,
Product Switching Fee ,"If the applicant decides to change the product on the application after the mortgage product has been offered, a non-refundable administration fee of £70 is payable prior to the amended mortgage offer being issued.",,,
Proof of address (POA/POR) ,"In all cases we will try to electronically verify the address history of the applicant. On occasion this may not be possible and we will require documentary evidence to verify the applicant's address history. We will need any document submitted to be correctly certified and be dated within the time period we have requested proof of address for. To see a full list of acceptable documents click here.

Click here to see our certification requirements.",,,
Property ,"All properties must comprise of a single residential dwelling unit i.e. own living accommodation/kitchen/bathroom etc. Taking a single mortgage over a property converted into more than 1 unit is not accepted. A “granny annexe” may be considered suitable, subject to the valuer’s comments.

Properties with more than 1 kitchen will be considered on an individual basis.

If the construction is non-traditional, contact us for acceptability. There are certain construction types we will not accept, click here for further details.

Properties built within the last 10 years must benefit from an acceptable warranty scheme. Please refer to Please refer to The UK Finance Lenders handbook for the currently acceptable schemes.

For details of unacceptable property types, click here.",,,
Property value,,,,
Property Re-inspection,"On occasion a re-inspection of the property may be required before or after an offer has been issued.

Where a re-inspection is necessary after the initial valuation is carried out, there will be a fee of £80.",,,
Refund of Valuation and Assessment Fee ,"Where a mortgage product includes a refund of the valuation and/or the assessment fee this will be refunded on completion of the mortgage. If a Homebuyer’s Report was selected, we will refund an amount equivalent to our standard valuation and assessment fee.

Any refund will be included in the funds sent to the conveyancer or, if you have appointed your own conveyancer to act for you separately, the funds will be sent to our conveyancer. Applicants should contact their conveyancer to find out how fee refunds will be distributed.",,,
Refurb buy to let,,,,
Regulated bridging finance,,,,
Regulated mortgage contracts,,,,
Refurb buy to let forms,,,,
Remortgage ,We will accept remortgage applications 12 months after the original purchase date.,,,
Repayment Methods ,"Residential Mortgages
Capital and Interest – the monthly payment will pay off some of the amount borrowed, every month, together with a payment of interest charged on the mortgage.
Interest Only – the monthly payment only covers the interest charged on the mortgage. At the end of the mortgage term, the customer will still owe the amount borrowed. The customer must be able to demonstrate that they have a clearly understood and credible repayment strategy which has the potential to repay the Interest Only mortgage balance at the end of the term.
Part and Part – with this option the Capital and Interest method applies to one part of the mortgage and the Interest Only option applies to the other part. Each part of the loan (Interest Only and Capital and Interest) must be a minimum of £5,000. The customer must be able to demonstrate that they have a clearly understood and credible repayment strategy which has the potential to repay the Interest Only balance at the end of term.
Affordability will be calculated according to the repayment method selected.
",,,
Repayment Vehicles ,"The value of the repayment vehicle, at the time of application will need to cover the interest only loan amount (inclusive of any fees).

A combination of repayment vehicles can be used.

The repayment vehicle/s must be in Pound Sterling and for joint applications the vehicle/s can be owned jointly or in the individual names of each applicant. A repayment vehicle that is owned with an individual that is not party to the mortgage will not be accepted.

We require documentary evidence of all repayment vehicles in place, where applicable.

We're able to consider the following repayment vehicles:

Sale of security property – subject to a minimum equity of £150,000 at the time of application, this will be determined by a full RICS valuation carried out as part of the application process.
Sale of additional property – the full property details including address, property type, number of bedrooms, estimated value and outstanding mortgage balance should be provided. An AVM will be used to validate the property value at the time of application. A Land Registry search will be undertaken to confirm ownership, although a Legal Charge will not be placed over any additional property used as a repayment vehicle.
Pension – occupational or private pensions are accepted. Final salary pension schemes will not be accepted. The most recent annual statement will be required to confirm the current value of the pension at the time of application.
Savings/Investments – Evidence of the savings/investments will be required in the form of the most recent statement or share certificate (dated within the last 3 months). Examples of acceptable savings/investments are:
Bank/Building society savings accounts;
ISAs including both Cash and Stocks & Shares ISAs;
Premium Bonds; and
Publicly listed UK Stocks and Shares (only shares listed on the FTSE Main Market and traded in Sterling are acceptable)",,,
Residency ,All UK nationals are acceptable subject to a 3 year UK residential history. EEA and non EEA Nationals must have been resident in the UK for the last 3 years and have permanent right to reside in the UK.,,,
Restrictive Covenants ,"We are unable to consider any property that may have a restricted occupancy clause within the planning permission, for example it can only be occupied for a maximum of 11 months in any one year. Property with unrestricted occupancy can be considered provided our normal requirements are met.

Similarly, property that can only be used for retirement or sheltered accommodation is not accepted. This is the same for any property where a planning restriction (e.g. agricultural restriction) effectively limits a property’s appeal on the open market.

Please note for New Builds, we do consider some Section 106 planning obligations.",,,
Retentions,"Retentions are not acceptable and lending will be based on the current value of the property, which must represent suitable security.",,,
